CD AS ON 28.02.2015,,,,,
sl,Name of the,Name of the Consumer,Existing CD ,Total LOAD, No. of  
no,Substation,,(MVA),(MVA), pts. 
A . GOMD - I,,,,213.240,15
1,HOWRAH,132/33; 165MVA(3x55),,15.000,1
,,WBSEDCL ( AMBUJA CEMENT) 132KV,15.000,,
,,,,,
2,BELMURI,"132/33: 1x31.5MVA,1x 25 MVA; 132/25: 50 MVA (2x25)",,43.000,2
,,WBSEB,25.000,,
,,WBSEB(E.Rly),18.000,,wef 01.11.08
,,,,,
3,BURDWAN,"132/33;150MVA(3X50),132/25;50MVA(2X25)",,123.700,9
,,WBSEB,48.000,,
,,E.Rly(Burdwan),22.000,,
,,Howrah Gases Ltd.,6.400,,
,,Shyam Sel Ltd.,2.800,,"wef. 3.09.08,10.05.09"
,,Shyam Ferro Alloys Ltd.,16.000,,wef 20.12.08
,,BRGD Ingots,8.600,,"wef. 15.09, 24.12.08, 09.11.09,5.2"
,,N.N.Ispat Pvt. Ltd.,13.200,,"disc-9.9, recn-12.11.08"
,,Global Castings Pvt. Ltd.,3.500,,
,,Mansarovar Ferrous Pvt. Ltd.,3.200,,
,,,,,
4,KHARAGPUR,132/33; 1x7.5MVA,,17.040,1
,," WBSEB, Kharagpur     (132KV) ",17.040,,
,,,,,
5,KOLAGHAT,,,14.500,2
,,Shri Badrinarain Alloys & Steels Ltd.                          (132 KV),10.000,,
,,Skipper Limited,4.500,,
B. GOMD - II,,,,704.960,57
6,KALIPAHARI,132/33KV:210 MVA(2X80+1X50) 1X31.5 MVA in Reserve,,141.000,7
,,"DPSCLtd., Seebpore",38.000,,,
,,"DPSCLtd., Luchipur",37.500,,,
,,"DPSC Ltd., J K Nagar",20.000,,,
,,"WBSEB, Luchipur",12.000,,,
,,"WBSEB, Kanyapur",29.000,,,
,,"ECL, Satgram",3.500,,wef 01.08.10,
,,Sarvamangalam Gajanan Steel Pvt. Ltd.,1.000,,,
,,,,,,
7,KALYANESWARI,132/33KV:81.5MVA(1X50+1X31.5) 220/132KV:450MVA(3X150),,140.800,16,
,,Maithon Alloys Ltd.       (132KV),40.000,,wef 01.10.14,
,,Impex Ferro Tech. Ltd.  (132KV),23.000,,,
