,,,Status of Consumer after Construction Clearance as on 16.11.2014,,,,,,,,,,,
Sl. No.,Substation ,Application Date,Consumer,Initial CD(MVA),Final CD(MVA),Construction Clearance,Equipment Released,Meter Released,CEA Approval,Commercial Clearance,Contacts,Present Status of Consumer,Division,Projected
1,ASP,16.05.2007,Bhaskar Shrachi Alloys Limited,9,9,05.02.2009,,,,,bhaskar@cal.vsnl.in,Work not yet started by the agency.  Phone nos. not valid. e-mail- sent on 28.01.13 to bhaskar@cal.vsnl.in but no response,TSC-I,-
2,ASP,14/10/11,Central Mechanical Engineering Research Institute (CMERI),4,4,23/05/12,,,,,"S K Singh, ED M-9431708558",Revised survey completed and route profile handed over. Work not started due shortage of fund of CMERI.,TSC-I,-
3,ASP,11/07/13,Haldia Steels Ltd. (U#1),8,8,27/05/14,,,,,,Terminal arrangement work in progress. will be tap off from proposed Haldia Steel #2,TSC-I,2014-15
4,ASP,11/07/13,Haldia Steels Ltd. (U#II),7,7,14/11/14,,,,,,Will be tap off from loc. 27 of Shivam India+CP Sponge,TSC-I,
5,ASP,27/12/2013,Adhunik Corporation Ltd.,8,8,27.05.2014 22.01.2015,,,,,,,TSC-I,
6,BARJORA,01.10.2009,Amit Ferro Alloys & Steel Pvt. Ltd.,7.5,15,15/05/12,,,,,"Amit Sharma, (DIR), 033-22895400 E-mail-amit@mirondagroup.com","Approved route profile, specifications handed over to Consumer but they are not showing interest to initiate the contruction work after continious persuance from this end.",TSC-I,2014-15
7,BARJORA,20.05.2005,BDG Metal & Power Ltd. (132 KV). Existing consumer at 33 KV since 25.09.2006,11.5,43,(4/3/2009) Revised Construction clearance 04.11.14,,,,,"All contacts are invalid. E-mail info@goyalgroup.in Ashish Agaewal, 033-40059005","Not yet started the work after repeated pursuance from DVC end. However, 132KV line upto BDG end completed by M/s Shree Ambay as a common utility of the same line. vide dated 06.12.2014 BDG Metal said they expected to finish the work within 6 to 7 months.",TSC-I,-
8,BARJORA,02.07.2003,Cosmic Ferro Alloys Ltd.(132 KV).Existing consumer at 33 KV (4.2.05).Final CD: 32 MVA,4.5,32,17.10.2008,,,,,"S N Bidawtka, 033-2283-6551/ 03241-256185","Tower erection 90% completed. Work suspended due to objection raised by WBIDC regarding power line corridor. Matter verbally persued with Cosmic ferro and WBIDC, WBIDC requested for few information which is in process.",TSC-I,-
9,BARJORA,24.04.2009,Parmeshwari Electrosteel Pvt. Ltd. (in application CD : 3.5,4,10,29/05/12,,,,,Ankit Agarwal 033-2273-4561,Work not yet started by the agency. ,TSC-I,-
10,BARJORA,7/31/2008,Supersmelt Industries Ltd.,7,25,10/05/12,,,,,"Manoj Kr. Kasera (Dir), 033-26657074 supersmelter@rediffmail.com",A revised report for initial 7 MVA demand has been sent to Consumer,TSC-I,-
11,BARJORA,06/02/12,Metsil Exports Private Limited,7.5,25,2/19/2013,,,,,"S K Sharma, 033-22891641/42/43",Work is in progress. Tower erection complete. Construction of terminal arrangement is in progress and almost completed. ,TSC-I,2014-15
12,BARJORA,14/08/13,Timespac India Limited,0.5,0.5,4/21/2014,,,,,Shwet Agarwal 033-40001281,not started,TSC-I,-
13,BARJORA,24/04/13,Golden Casting & Ispat Ltd (132KV),18,21,8/4/2014,,,,,A K Saray 033-2264-0121/32568881,not started,TSC-I,-
14,BARJORA,20/07/11,Embee Ferro Alloys Pvt. Ltd.,6,9,"3/2/2015
(Revised)",,,,,V K Poddar (Dir) 033-23593453/ 9831491631,sent to site,TSC-I,
