,,,,,,,,,Prospective Consumer as on 01.09.14,,,,,,,,,,
GOMD,TSC,Sub-Station,Consumer,Initial CD(MVA),Final CD (MVA),Application Date,Feasibility request Received,Feasibility request Sent,Feasibility Report Received,Feasibility Report sent,Detail request Received,Detail request Sent,Detail  Report Received,Detail  Report sent,Latest Status,From,Sent To,Date,Remark
GOMD-I,TSC-I,Burdwan,Rajdev Ispat Pvt. Ltd.,3,6,11.02.2005,,,,,,22/10/05,,,Silent,CE(TSC),SE(E/Z),22/10/05,CE/TSC/NS-RIPL/2457
GOMD-I,TSC-I,Burdwan,Santi Rice Mills (P) Ltd.,0.6,0.6,15.05.2006,,,,,,,,05/04/07,Detail Report,CE(TSC),CE(PSR),05/04/07,CE/TSC/NS-SRMPL/20
GOMD-I,TSC-I,Burdwan,Shiv Shankar Rice Mill,0.5,0.5,15.05.2006,,,,,,,,06/04/07,Detail Report,CE(TSC),CE(PSR),06/04/07,CE/TSC/NS-SRMPL/21
GOMD-I,TSC-I,Burdwan,Sri Shankar Rice Mill,0.5,0.5,15.05.2006,,,,,,,,07/04/07,Detail Report,CE(TSC),CE(PSR),07/04/07,CE/TSC/NS-SRMPL/22
GOMD-I,TSC-I,Burdwan,Nittyakali Rice Mill,5,5,02/02/12,,17/02/12,20/04/12,05/05/12,,,,,Feasibility Report,CE(TSC),CE(PSR),05/05/12,E-mail 
GOMD-I,TSC-I,Burdwan,Shyam Sel & Power Ltd.(New),4.2,4.2,17/12/12,10/01/13,15/01/13,23/03/13,23/03/13,,,,,Feasibility Report,CE(TSC),CE(PSR),23/03/13,
GOMD-I,TSC-I,Burdwan,Krishna Tissues Pvt. Ltd. (132KV),8,13.3,17/06/13,15/07/13,15/07/13,03/09/13,04/09/13,,,,,Feasibility Report,CE(TSC),CE(SPE),15/07/13,
GOMD-I,TSC-I,Howrah,EllenBarrie Industrial Gases Ltd,4.5,4.5,09/04/12,09/04/12,09.04.12 03.05.12,03.05.12 02.07.12,07/07/12,,,,,Feasibility Report,CE(TSC),CE(PSR),07/07/12,Feasibility route submitted by the consumer to be checked by Division. request sent on 20.01.2015
GOMD-I,TSC-I,Kharagpur,Mangal Steel Enterprises Ltd.,2,2,12/05/08,,,,,,,,,Feasibility Report,CE(Coml.),Consumer,11/08/08,Coml./PS/MSEL/Kharagpur/1718  Not Feasible
GOMD-I,TSC-I,Kolaghat,Essel Kitchenware Ltd.,1.5,3,29/05/12,26/10/12,01/11/12,05/12/12,14/12/12,,,,,Feasibility Report,CE(TSC),CE(PSR),14/12/12,
GOMD-I,TSC-I,Kolaghat,Nirmal Wires Pvt. Ltd. (132KV),1.5,3,24/07/13,30.08.13 09.11.13,24.08.13 11.11.13,10.09.13 18.12.13,10.09.13 18.12.13,,,,,Feasibility Report,CE(coml),consumer,23/06/14,Not Feasible
GOMD-I,TSC-I,Kolaghat,Krishna Tissues Pvt. Ltd. (132KV),5,5,11/07/13,23/09/13,23/09/13,22.10.13 18.12.13,22.10.13 18.12.13,,,,,Feasibility Report,CE(coml),consumer,23/06/14,Not Feasible
GOMD-II,TSC-II,Burnpur,"DPSC Limited, Ikra S/S",10,15,16.11.2007,,27/10/09,,,,,,,Silent,CE(TSC),DCE(E/Z),27/10/09,CE/TSC/NS-DPSCL(IKRA)/1470
GOMD-II,TSC-II,Burnpur,"DPSC Limited, Hirapur S/S",5,10,16.11.2007,,27/10/09,,,,,,,Silent,CE(TSC),DCE(E/Z),27/10/09,CE/TSC/NS-DPSCL(IKRA)/1470
GOMD-II,TSC-II,Burnpur,Rohit Ferro Tech Ltd.(220 KV),33,99,12.07.2006,,,,,,,,26/06/07,Detail Report,CE(TSC),CE(PSR),26/06/07,CE/TSC/NS-RFTL/641  (NOT COMPLETED AS THEY SHOWN THE TERMINATION ETC.)
GOMD-II,TSC-II,Burnpur,Vikash Smelters Limited (220KV),10,60,18.12.2006,,,,27/09/11,,,,,Feasibility Report,CE(TSC),CE(PSR),27/09/11, Only BW
GOMD-II,TSC-II,Burnpur,Goyal MG Gases Pvt. Ltd.,12,12,19.12.2006,,,,,,18/04/07,,,Silent,CE(TSC),DCE(E/Z),18/04/07,CE/TSC/NS-GMGGPL/102
GOMD-II,TSC-II,Burnpur,Burn Statndard Co. Ltd.,1.5,1.5,24/01/14,03/02/14,03/02/14,15/04/14,17/04/14,,,,,Feasibility Report,CE(TSC),CE(SPE),17/04/14,
GOMD-II,TSC-II,Kalyaneshwari,"Brahmi Impex Limited,(132KV)",12,54,03.07.2007,,27/03/10,,,,,,,Silent,CE(TSC),SE(E/Z),27/03/10,CE/TSC/NS-BIL/2543
GOMD-II,TSC-II,Kalyaneshwari,Adhunik Corporation Ltd.,5,70,03.07.2007,,24/07/07,,,,,,,Silent,CE(TSC),SE(E/Z),24/07/07,               CE/TSC/NS-ACL/854              SILENT
GOMD-II,TSC-II,Kalyaneshwari,Hira Smelters (Pvt.) Ltd. (applied for final CD of 9 MVA),2,9,18.11.2009,,,,,,,,,Silent,CE(Coml.),Consumer,09/09/10,Reminder IV Coml./PS/HS(P)L/Kalyaneswari/1411
GOMD-II,TSC-II,Kalyaneshwari,Hira Iron Pvt. Ltd. ,50,50,15/11/11,,,,20/03/12,,,,,Detail Report ,CE(Coml.),Consumer,04/10/13,letter from Coml to consumer for submission of NOC from WB Pollution control board on 08.09.14
GOMD-II,TSC-II,Kalyaneshwari,Padma Iron Products Pvt. Ltd.,12,22.5,16/11/11,30/03/13,30/03/13,27/04/13,02/05/13,31.03.12 23.09.13,06.06.12 23.09.13,04/12/13,21/01/14,Detail Report ,CE(TSC),CE(SPE),21/01/14,
GOMD-II,TSC-II,Kalyaneshwari,Impex Steel Ltd. (132KV),24,30,28/12/12,,,,,,,,,Silent,CE(Coml.),CE(PSR),01/03/12,Coml./PS/ISL/Kalyaneswari/8277
GOMD-II,TSC-II,Kalyaneshwari,Ambay Coke Indistries (P) Ltd,5,5,23/08/11,16/11/12,17.11.12 18.05.13,03/01/14,03/01/14,,,,,Feasibility Report,CE(TSC),CE(SPE),03/01/14,
GOMD-II,TSC-II,KUMARDHUBI,"Ma Chandi Durga Ispat Ltd., Nala (at 132 KV)",5,70,05.07.2007,,,,,,,,,Silent,CE(Coml.),Consumer,18/02/10,Last Reminder sent from commercial
GOMD-II,TSC-II,KUMARDHUBI,Shri Ram Dhatu Udyog (Pvt.) Ltd.,3.5,3.5,30.05.2005,,,,,,,,,Silent,CE(Coml.),Consumer,11/07/10,Coml./PS/SRDUPL/Kumardubi/1840
GOMD-II,TSC-II,KUMARDHUBI,Ma Chandi Durga Ispat Ltd.(at Neersa),5,5,05.07.2007,,,,,,,,,Silent,CE(Coml.),Consumer,18/02/11,Last Reminder sent from commercial on 
GOMD-II,TSC-II,KUMARDHUBI,Mcnally Sayaji Engineering Ltd.,1.2,1.2,19/10/11,,,,,14/04/12,16/04/12,22/08/12,23/08/12,Detail report,CE(TSC),CE(PSR),23/08/12,waiting for Constn. Clearance. Route profile already handed over to consumer as advised by PSR
GOMD-II,TSC-II,KUMARDHUBI,Dolphin Engineering Works,1,1,08/07/08,08.03.13 10.04.13,13.03.13 11.04.13 17.05.13,31/12/13,02/01/14,,,,,Feasibility Report,CE(TSC),CE(SPE),02/01/14,
GOMD-II,TSC-II,KUMARDHUBI,"BCCL, Dahibari",1.5,6.5,09.05.13 14.02.2014,13.07.13 19.08.14,15.07.13 14.02.14 19.08.14,,11/11/13,,,,,Feasibility Report,CE(Coml.),Consumer,20.01.2015,Revised survey report sent.
GOMD-II,TSC-II,KUMARDHUBI,ER Kumardhubi,9,9,23/07/14,02/09/14,02/09/14,,,,,,,Feasibility Report,CE(TSC),CE(SPE),14.11.14,Feasibility report sent
GOMD-II,TSC-II,Maithon,"ECL, Dhanbad",40,40,01.12.2009,,,,,,,,,Feasibility Report,CE(Coml.),Consumer,26/05/10,Coml./PS/ECL/Maithon/556
GOMD-II,TSC-II,Maithon L/B,Adhunik Corporation Limited (Neersa),5,70,06.07.2007,,,,,,,,,Silent,CE(Coml.),Consumer,05/08/10,        Revised Coml./PS/ACL/Purulia/1123 (No response)
GOMD-II,TSC-II,Raghunathpur,Adhunik Corpn Ltd.,70,125,24/08/07,,,,,,,,,Silent,,,24/08/07,
GOMD-II,TSC-II,Raghunathpur,Bankura Dri Mining Manufacturers Co. Pvt. Ltd.,1,2.5,28/04/09,,,,,,,,,Silent,CE(Coml.),Consumer,15/07/09,Coml./PS/BDMMCPL/1149
GOMD-II,TSC-II,Ramkanali,Lakshmi Steel Industries (P) Ltd.,12,20,05/08/08,,30/10/08,,,,,,,Silent,CE(TSC),SE(E/Z),30/10/08, CE/TSC/NS-LSI(P)/L/1709 (letter issued from Coml. for confirmation of Mouza which is not confirmed by the consumer)
GOMD-II,TSC-II,Ramkanali,Rashmi Metaliks Ltd. at 132 KV,5,20,02.06.2009,,,,,,,,,Detail Report,CE(Coml.),Consumer,09/01/12,Coml./PS/RCL/Jamuria/7619
